Daftar Material
PLATE TYB PRINTING RF95MC-A2
KARUNG HIJAU 75 X 115 CM
"SHEET TRAP PP NATURAL 0,31 X 500 MM"
"SHEET TRAP PP NATURAL 0,31 X 630 MM"
HOLCOBATCH BLUE  11-30-25187
BOX WIRAUSAHA 580 X 360 X 580 ( GATOT KACA ) - SW
"RESIN PP TRILENE HE 2,0 TF"
RESIN LLDPE ASRENE
RESIN PET DSR TLE 105
RESIN MARLEX HGX-030SP
RESIN PET-E VEOLIA
RESIN RAMAPET N2
RESIN NSPET GRADE REGULAR
RESIN PET YS WO1
RESIN PET WK-801
RESIN MASPLANE 2158 
RESIN MASPLANE 2158
RESIN JADE CZ 302 - L
INNER BOX MASKER GUARD PLUSH 180 X 160 X 55 MM
RESIN PP YARN 125
RESIN NSPET SP GRADE REGULER
RESIN MASPLANE 2159
RESIN ASRENE
RESIN MASPLANE 2158 - SAMPLE
CUP KOPIKAP 200 ML 68MM Putih
PELETAN FLAKE LIGHT BLUE
PELETAN NATURAL
PELETAN HWD
HWD BLUEISH
PELETAN BIRU
PELETAN FLAKE BLUE
RE-PELLETAN LIGHT BLUE (NT)
PET PELLETAN BLUE (NT)
PET PELLETAN BIRU - A (NT)
PET PELLETAN BIRU (NT)
PET PELLETAN NATURAL A ( NT)
PET PELLETAN NATURAL B ( NT)
PELETAN PAB 1 MIX LB

PELETAN PAB 1 MIX LB -
PET PELLETAN NATURAL
PET PELETAN BIRU 
PET PELETAN NATURAL 
INNOPLUSH HD2410C-P
HDPE 5211 EA-B
HDPE 6070 EA
HDPE 5120 
HDPE SM800
LUCEN 175
Peletan VEGA R-PET
PET BH-801
PET CR BRIGHT 8816
PET HAINAN YS-W01
PET BK-2180
"PET RESIN BOTTLE WATER GRADE TLE 105  ( DRAGON SPESIAL RESIN ( XIAMEN ) CO, LTD"
PET EASTLONE BRAND BOTTLE GRADE CB 602
PET JADE CZ-302 ( JIANGYIN XINYU NEW MATRIAL CO LTD )
PET JADE CZ 302 - LOW SFX
R-PET PREMIUM V03
R-PET REGULER
RAMAPET N2
R-PET VEOLIA
"PP HYSOUNG B302N ( HYOSUNG VINA CHEMICALS CO ,LTD )"
RESIN R-PET REGULER
RESIN VEOLIA
C-PLAST GREEN 4126
C-PLAST RED 2012
PLAST LIGHT GREEN MFPE 6459 R2 B
PLAST LIGHT BLUE MFPE 20833 B-23
PLAST LIGHT BLUE MFPE VN 4740 R3
PLAST SILVER MFPE 19213 R1 A-21
PLAST TRANS LIGHT BLUE MFPE 19711 R3-22
LIQUID COLORANT DAN BLUE 5-575-10488-7
COMASTER BLUE 98501 F
HOLCOBATCH BLUE 131-30-26358
HOLCOBATCH 11358
HOLCOMASTER BLACK 474 - 30 - 23347
HOLCOMASTER BLUE 471-30-20887
HOLCOMASTER PINK 473-30-24000
HOLCOMASTER VIOLET 2473-30-26848
ORANGE 1537
RED 3929
0070 N WHITE
HIFORMER BLUE FP51415153-LN S 
CAP AQUA PL53400534 MX-C1757 FS
HIFORMER TRANS BLUE 125521
REMAFIN GREEN PL63401371-ZN MX-E2072
BLUE DCA 6016 & GREEN DC 3513.17
ASILEN BLUE 6120
 INNER BAG 0.03 X 61 X 81 CM
 INNER BAG 0.03 X 100 X 105 CM
INNER BAG 0.025 X 100 X 105 CM
"INNER BAG 0,04 X 230 X 200 CM"
SLEVE (HD) 0.020 X 18 X 72 CM 
SLEVE (HD) 0.015 X 13 X 75 CM
SLEVE MICRON 0.020MM X 29 CM X 1000 M
INNER BAG (PE) 0.025 X 61 X 81 CM
 INNER BAG (HD) 0.020 X 110 X 105 CM
 INNER BAG (PE) 0.03 X 89 X 135 CM
INNER BAG (PE) 0.03 X 138 X 110 CM
INNER BAG (PE) 0.035 X 200 X 230 CM
INNER BAG (PE) 0.03 X 45 X 89.5 CM
SLEVE (HD) 0.015 X 13 X 70 CM
SLEVE (HD) 0.015 X 18 X 72 CM
SLEVE ( PP ) 0.03 X 18 X 66 CM 
SLEVE BIRU (PE) 0.025 X 13 X 75 CM
SLEVE 0.020 X 18 X 80 CM
INNER BAG (HD) 0.025 X 61 X 81 CM
 INNER BAG 0.03 X 89 X 135 CM
INNER BAG 0.035 X 200 X 230 CM
SLEVE 0.015 X 13 X 75 CM
SLEVE 0.020 X 18 X 72 CM 
CLEANING COMPOUND CF06002 
ULTRAPURGE PET-E (UP 5000 ) 
BLANKET 250 x 250 x 1.96
Blanket NTR 151 ( Sample )
Blanket UV Ruby ( Merah )
Blanket Vista ( Biru )
Blanket X Aviant 1060 x 1000 x 1.96
Blanket X-Treme Cup Upper Blanket 195U Beige ( CCI )
"Blanket X-Treme ( Coklat) 1000 x 1000 x 2,18"
"BOX BIRU ALE 584 X 364 X 480 MM
( K150 - M125 - M 125 )"
"BOX BIRU 580 X 360 X 580 MM
( K150 - M125 - M 125 )"
"BOX POLOS 770 X 465 X 420 MM
( K150 - M150 - K150 )"
"BOX POLOS 580 X 360 X 580 MM
( K150 - M125 - M 125 )"
"BOX WIRAUSAHA 596 X 356 X 433 MM
( K150 - M125 - M 125 )"
"BOX PRINTING 770 X 465 X 420 MM
( K150 - M150 - K150 )"
"Box Bola 580 x 360 x 580 mm ( JAGUAR )
( K150 - M125 - M 125 )"
"BOX TEH POCI 16 OZ 450 X 360 X 460 MM
 ( K150 - M150 - K150 )"
"Box Teh Poci 22 OZ 570 x 460 x 370
 ( K150 - M150 - K150 )"
"BOX HIJAU DW 596 X 356 X 433 MM
( K200 - M125 - M125 - M125 - K200 )"
"BOX BIRU TB 596 X 356 X 433 MM
( K150 - M125 - M 125 )"
"BOX MERAH DW 596 X 356 X 433 MM
( K125 - M125 - M125 - M125 - K125 )"
"BOX POLOS 580 X 370 X 470 MM
( K150 - M125 - K1250 )"
"BOX POLOS 460 X 360 X 580 MM
 ( K 150 - M150 - K150 )"
"BOX POLOS DW 578 X 375 X 368 (MAMBAL)
( K150 - M125 -M125 - M125 - K125 )"
"BOX HITAM 578 X 375 X 368 mm
( K150 - M125 -M125 - M125 - K125 )"
"BOX MERAH 580 X 360 X 580 MM
( K200 - M150 - M150 )"
Box Masker 555 x 390 x 330 mm (3ply) New
SWIP ALL WHITE
ECO CLEAN - 100163
PLAKBAN 45 MM X 40 MIC X 100 M
WRAPPING L50 CM X P150M X T0.017MM
WRAPPING L50 CM X P150M X T0015 MM
WRAPPING L50 CM X P200M X T0.015MM
Wrapping L50 cm x P300 m x 0.012 mm
KARUNG HIJAU  75 X 115 CM
STICKER CAP MANIFESTO
STICKER CAP MANIFESTO PANDAAN
STICKER CAP MANIFESTO MEKARSARI
DAICURE PROCESS CLB1 YELLOW 
DAICURE PROCESS CLB1 MAGENTA
DAICURE PROCESS CLB1 CYAN
UV 4157 BLACK SAP
WHITE OPT
"UVC 103 UV ROLLER WASH,5"
M441N - UV ROLLER WASH
"RDP 1021 - 13 - ADVENCURE PROCESS YELLOW, 1"
"RDP 1021 - 12 - ADVENCURE PROCESS CYAN, 1"
"RDP 1021 - 11 - ADVENCURE PROCESS MAGENTA, 1"
"RDP 1021 - 14 - ADVENCURE PROCESS BLACK, 1"
"DAICURE SL PV 208 WARM RED H,1"
"DAICURE SL PV REDUCER, 1"
"DAICURE ( CLB1 ) ID YELLOW, 1"
"DAICURE CLB1 CYAN, 1"
"DAICURE CLB1 MAGENTA, 1"
"DAICURE CLB1 BLACK, 1"
"DAICURE SL PV SLIP ADDITIVE, 1"
"DAICURE SL PV PROCESS YELLOW H, 1"
DAICURE SL PV PRO MAGENTA
"DAICURE SL PV MEDIUM H,1"
"DAICURE SL PV 708 WHITE H, 1,5"
"DAICURE CLB1 PROCESS BLACK (ID) ,1"
"DAICURE CLB1 PROCESS MAGENTA (ID) ,1"
"DAICURE CLB1 PROCESS YELLOW (ID) ,1"
"DAICURE CLB1 PROCESS CYAN (ID) ,1"
"SAMPLE SHEET PET CLEAR KW II UK 0,24 X 670 ( 3,8 Kg ) 1 Roll"
"SAMPLE SHEET PP WHITE 0,40 X 540 MM ( Sample A ) 16 Kg"
"SAMPLE SHEET PP WHITE 0,40 X 540 MM ( Sample B ) 17,40 Kg"
"SHEET TRAY PP NATURAL 0,27 X 620"
"SHEET TRAY PP NATURAL 0,29 X 620 "
"SHEET TRAY PP NATURAL 0,31 X 500 "
"SHEET TRAY PP NATURAL 0,31 X 630"
"SHEET TRAY PP NATURAL 0,32 X 500 "
"SHEET TRAY PP NATURAL 0,32 X 620 "
"SHEET TRAY PP NATURAL 0,32 X 620 X 277"
"SHEET TRAY PP NATURAL 0,41 X 500 "
"SHEET TRAY PP NATURAL 0,44 X 630 "
"SAMPLE SHEET PET 0,31 X 63 X 100 ( 52,16 Kg ) 2 Roll"
"SHEET TRAY PP NATURAL 0,27 X 620 X 646"
"SHEET TRAY PP NATURAL 0,31 X 500"
"SHEET TRAY PP NATURAL 0,32 X 620"
"SHEET TRAY PP NATURAL 0,32 X 630"
"SHEET TRAY PP NATURAL 0,41 X 500 X 536"
"SHEET TRAY PP NATURAL 0,44 X 630 X 390 "
"SAMPLE SHEET PET 0,41 X 50 ( 14,9 Kg ) 1 Roll"
"SAMPLE SHEET PET 0,44 X 63 ( 15,4 Kg ) 1 Roll"
INNER BOX MASKER GUARD PLUS
"INNER BOX 230 X 90 X 65 Kertas Ivory 310 gr 4Ply ""Inguard """
INNER BOX 200 X 85 X 50 Kertas Ivory 310 gr
"INNER BOX MASKER DUPLEX 310 "" MASK ON """
OUTER BOX 475 X 245 X 275 ( K125/M125/K125) BF SW
OUTER BOX OB GUARD MASK 475 X 245 X 280 ( K125/M125/K125)
OUTER BOX SW 520 X 370 X 320 ( K150 / M150 / K150 )
BOX MASKER KIDS 360 X 215 X 268 ( K125 / M125 / K125 ) SW
INNER BOX MASKER DUPLEX 310 gr
"INNER BOX MASKER UK 180 X 100 X 75 3Ply "" Surgical """
INNER BOX MASKER TRUSMED 3Ply
STICKER BFE @300 PCS
TALI MASKER ELASTIC TYPE 9 MERAH
TALI MASKER ELASTIC TYPE D NATURAL ( White ) 3mm
TALI MASKER RIBON ELASTIC 3MM
NOSE WIRE KAWAT MASKER
TALI MASKER ELASTIC BULAT R White
TALI MASKER ELASTIC BULAT BLACK
PLASTIK INNER 0.03 mm X 1000 mm X 1050 mm PE
PLASTIK INNER 0.03 mm X 890 mm X 1350 mm PE
PLASTIK INNER 0.03 mm X 1380 mm X 1100 mm PE
PLASTIK INNER 0.035 mm X 2300 mm X 2000 mm PE
PLASTIK INNER 0.04 X 205/115 X 225 PE
PLASTIK INNER 0.03 mm X 1000 mm X 1050 mm PE - REP
PLASTIK INNER 0.025 mm X 610 mm X 810 mm PE
PLASTIK INNER 0.02 mm X 1100 mm X 1050 mm HD
PLASTIK SLEEVE 0.03 X 18 X 72 HD
PLASTIK SLEEVE 0.015 mm X 130 mm X 750 mm HD
"PLASTIK SLEEVE 0,02 mm X 180 mm X 720 mm HD"
PLASTIK SLEEVE 0.015 mm X 130 mm X 700 mm HD
"PLASTIK SLEEVE 0,015 mm X 180 mm X 720 mm HD"
PLASTIK SLEEVE TEH POCI 0.03 mm x 18 cm x 66 cm PP
PLASTIK SLEEVE BIRU ( WCC ) 0.025 mm X 130 mm X 750 mm PE
PLASTIK MICRON 0.02MM X 29CM X 1000 M PE ( ROLL )
